POST_ID,TEXTO,LIKES
3140918205931299,"Aprovecha esta promoción en línea de afeitado Nivea en tu sala de venta más cercana, en superselectos.com o #SuperSelectosAPP",68
3140910939265359,"Aprovecha esta promoción de Agua Micelar Nivea en tu sala de venta más cercana, en superselectos.com o #SuperSelectosAPP",99
3140904779265975,"Por la compra de tu 2 pack de Rexona recibe un 1 alcohol gel gratis 59 ml :D
Mientras duren existencias. Restricciones aplican. Súper Selectos se limita la cantidad de unidades a vender por cliente. Existencias varian por sala de venta.",88
3140874522602334,"¡Aprovecha tu #SuperAhorro de la semana en todos los Súper Selectos!
.
.
.
Oferta válida del 20 al 22 de junio 2020. Mientras duren existencias. Restricciones aplican. Súper Selectos se reserva el derecho de limitar la cantidad de unidades a vender por cliente.",217
3135364786486641,"Encuentra Café Criollo en todas sus presentaciones en #TuSúper más cercano, superselectos.com y #SúperSelectosAPP.
Promoción de Café Criollo instantáneo de 40 unidades válido hasta el 25 de junio. Mientras duren existencias. Restricciones aplican. Súper Selectos se reserva el derecho de limitar la cantidad de unidades a vender por cliente.",262
3135157953173991,"Aprovecha esta promoción de Mascarillas Detox Nivea en tu sala de venta más cercana, en superselectos.com o #SuperSelectosAPP",139
3135152879841165,"Aprovecha esta promoción de Agua Micelar Nivea en tu sala de venta más cercana, en superselectos.com o #SuperSelectosAPP ;)",193
3135130799843373,"En #TuSúper pensamos en tu seguridad, por ello te compartimos algunas recomendaciones de cómo sanitizar tus compras.",1570
3132703246752795,"Hemos innovado y por eso anunciamos las 48 HORAS DE MÁS AHORRO en #SuperSelectosApp y superselectos.com
Tendremos las mejores promociones de medio año en línea este 20 y 21 de junio.",535
3130747100281743,Encuentra todo lo que le gusta a papá en tu Súper Selectos más cercano ¿Con qué productos la armarías tú?,260
3123064191050034,"Por la compra de tu 2 pack de Rexona recibe un 1 alcohol gel gratis 59 ml :D
Mientras duren existencias. Restricciones aplican. Súper Selectos se limita la cantidad de unidades a vender por cliente. Existencias varian por sala de venta.",595
